,Item,OpenQty,Order Quantity
0,003981102,9000.0,10500.0
1,003984026,7110.0,7436.0
2,0039892001,17.0,
3,00398944001,11800.0,2800.0
4,004241108,100.0,110.0
5,004256216N,990.0,1000.0
6,004261111NG,2500.0,2600.0
7,004261422NG,1990.0,2000.0
8,004265506,10.0,
9,006304040,970.0,980.0
10,007042008,23010.0,18000.0
11,007053304,1100.0,
12,007151111,3340.0,
13,0339892001,4741.0,5749.0
14,035001024,82950.0,86940.0
15,05398944001,7157.0,5157.0
16,103251292,174.0,
17,217704090,7250.0,9000.0
18,367504090,2250.0,1000.0
19,377500296,3630.0,2000.0
20,377502085,1496.0,1500.0
21,377702091,4990.0,5000.0
22,513985036,6990.0,7000.0
23,513987033,3990.0,4000.0
24,547500296,1000.0,
25,557504090,1310.0,2000.0
26,MIS-00398944001,1.0,
27,MIS-05398944001,1.0,
28,TLG-004241961,1.0,
29,TLG-004241965,1.0,
30,TLG-004246012HE,1.0,
31,TLG-004261111NG,1.0,
32,TLG-004266301L,1.0,
33,TLG-006304001,1.0,
34,TLG-367704088,1.0,
35,TLG-367704099,1.0,
36,TLG-377702091,1.0,
37,TLG-513982004C,1.0,
38,TLG-513982007,1.0,
39,TLG-513982051,1.0,
40,TLG-513984001,1.0,
41,TLG-51398944001,1.0,
42,000,,3.0
43,004241961001,,1.0
44,004241965001,,1.0
45,004246012HE001,,1.0
46,004251111NG,,950.0
47,004251140NG,,780.0
48,004266301L001,,1.0
49,103250296,,150.0
50,117700097,,1300.0
51,513982004001,,1.0
52,513982007002,,1.0
53,513984001002,,1.0
54,51398944001001,,1.0
55,R007151111,,3350.0
56,Z007042008,,5010.0
57,Z007053304,,1100.0
